,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
0,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 05:30:00,1.0,0.26959,110.70417,29.84521,0.61,154.235,94.08335,1.03,183.66833,189.17838,5.975,105.0,627.375,0.90188,235.84333,212.70348,22.23802,313.80583,6978.41995,11.30318,313.80417,3546.98391,8.74471,110.0,961.91859,2021/10/12 04:05:04
1,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 19:30:00,1.0,0.44599,106.445,47.47325,0.55812,141.45583,78.94914,1.17251,170.465,199.87138,11.11667,105.0,1167.25,0.88,232.09167,204.24067,8.63516,301.10917,2600.12711,5.25561,301.11,1582.51544,8.79309,110.0,967.23961,2021/10/12 04:05:04
2,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 23:00:00,1.0,0.42338,112.775,47.74724,0.61,151.88917,92.65239,1.03,184.09917,189.62214,10.6,105.0,1113.0,0.75,235.3325,176.49938,5.78873,311.655,1804.08552,2.57309,311.65333,801.91123,7.87,110.0,865.7,2021/10/12 04:05:04
3,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 23:30:00,1.0,0.42167,111.87167,47.17241,0.61,152.3725,92.94723,1.15932,183.53167,212.77237,10.6,105.0,1113.0,0.77503,233.26583,180.78838,5.50951,309.92667,1707.54303,5.63561,309.92667,1746.62541,10.59727,110.0,1165.7,2021/10/12 04:05:04
4,D,TRADING,VWAFCASPRICES,1.0,2021-10-12 03:00:00,1.0,0.69246,113.72333,78.74863,1.45013,157.54583,228.46227,6.45204,189.00333,1219.45706,10.56092,105.0,1108.89708,0.75,236.8975,177.67313,2.44409,317.17917,775.21428,2.73392,317.17917,867.14399,7.9339,110.0,872.7288,2021/10/12 04:05:04
5,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 06:30:00,1.0,0.18666,109.94917,20.52288,0.60831,149.025,90.65273,1.16309,179.2675,208.505,12.40333,105.0,1302.35,0.86335,231.34667,199.73417,20.14823,305.66417,6158.59128,41.59745,305.66167,12714.74732,81.48073,110.0,8962.88021,2021/10/12 04:05:04
6,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 09:00:00,1.0,0.41334,114.6775,47.40081,3.81434,150.67333,574.71898,5.18914,185.14833,960.76097,13.83,105.0,1452.15,0.58238,207.24583,120.69648,2.37696,282.71583,672.00463,2.70921,283.30167,767.52392,12.36644,110.0,1360.30876,2021/10/12 04:05:04
7,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 09:30:00,1.0,0.41832,114.67583,47.97171,3.51514,152.415,535.75932,4.88368,186.365,910.14663,13.71002,105.0,1439.55232,0.5081,212.6225,108.03359,2.65244,311.57417,826.43104,3.21375,322.39083,1036.08371,9.49259,113.33083,1075.80307,2021/10/12 04:05:04
8,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 10:30:00,1.0,1.05339,116.2675,122.47551,4.35263,177.5725,772.90772,6.96525,218.51583,1522.01766,17.63596,121.66667,2145.70833,0.29253,164.19583,48.03274,1.98935,278.08167,553.20231,2.53577,289.04917,732.96142,9.43132,126.66667,1194.63333,2021/10/12 04:05:04
9,D,TRADING,VWAFCASPRICES,1.0,2021-10-11 15:30:00,1.0,0.7213,111.4225,80.36859,1.73162,152.54833,264.15527,1.512,183.2075,277.00914,12.02969,105.0,1263.11792,0.75129,233.055,175.0925,2.19425,309.8375,679.86035,2.58857,309.83667,802.03443,9.65939,110.00167,1062.54878,2021/10/12 04:05:04
